channelID 	Gain 	HalfGain
152 	 173.494 	  52.597
153 	 174.027 	  53.956
154 	 197.233 	  60.633
155 	 189.123 	  56.063
156 	 267.694 	  76.584
157 	 219.141 	  62.400
158 	 180.868 	  43.360
159 	 144.056 	  37.473
160 	 146.116 	  35.314
161 	 183.724 	  44.992
162 	 169.222 	  40.146
164 	 178.341 	  49.936
165 	 170.588 	  48.960
166 	 202.221 	  55.759
167 	 185.675 	  50.848
168 	 188.634 	  52.727
169 	 172.750 	  46.268
170 	 191.218 	  70.783
171 	 204.035 	  74.252
172 	 196.275 	  71.434
173 	 228.397 	  80.707
174 	 221.793 	  79.288
175 	 241.556 	  84.993
176 	 183.988 	  80.354
177 	 180.954 	  79.001
179 	 199.138 	  84.923
180 	 203.546 	  86.912
181 	 196.427 	  83.642
182 	 204.183 	  87.313
183 	 233.615 	  74.130
184 	 103.727 	  55.741
185 	 247.357 	  78.626
186 	 233.000 	  76.219
187 	 208.556 	  66.494
188 	 221.638 	  70.844
189 	 181.210 	  63.470
190 	 199.154 	  68.333
192 	 195.929 	  67.645
193 	 197.465 	  67.744
194 	 206.696 	  70.057
195 	 196.012 	  56.129
196 	 213.003 	  60.979
197 	 229.254 	  64.191
198 	 222.956 	  62.822
199 	 225.609 	  63.180
200 	 221.887 	  62.571
201 	 213.364 	  60.815
202 	 196.476 	  66.394
203 	 186.524 	  62.405
204 	 198.340 	  65.000
206 	 199.128 	  65.146
207 	 199.837 	  65.678
208 	 190.836 	  72.276
209 	 204.264 	  75.033
210 	 229.600 	  81.384
211 	 220.884 	  79.968
212 	 226.757 	  79.979
213 	 228.772 	  81.097
214 	 216.441 	  93.017
215 	 211.835 	  90.061
216 	 223.933 	  93.839
217 	 208.348 	  89.356
218 	 216.826 	  91.123
219 	 226.943 	  94.338
220 	 205.335 	  86.239
221 	 201.669 	  84.579
222 	 190.995 	  80.344
223 	 190.903 	  81.186
224 	 220.425 	  90.560
225 	 211.332 	  87.430
